M IY D AH T	5.64826684838e-06
K IY N AH P	5.1807126812e-08
HH EY N AH T	5.12489475974e-07
S AE SH AH M	1.31225386093e-07
S IY N AH N	7.50435608273e-06
M AE L AH P	5.24072282285e-06
K IH N AH M	2.5925058238e-06
HH AE L AH M	4.05177805263e-05
HH IH D AH P	1.28224557413e-06
S AE N AH P	5.49703718831e-07
M EY L AH P	4.18219078809e-07
K IH D AH T	2.52774461175e-06
S IH D AH T	4.69641228988e-06
HH EY SH AH M	3.89031515178e-07
K EY L AH M	4.86202974932e-07
M IY N AH P	3.74282973738e-07
HH IH SH AH P	8.73208268338e-08
K IY D AH N	1.1343967322e-06
M AE N AH N	0.000131972507694
S IH SH AH P	3.87357961649e-08
K EY L AH M	4.86202974932e-07
M EY N AH M	2.44027691224e-06
S IH L AH P	1.88641219012e-06
HH AE L AH N	0.000109482968002
14.8485821196
